text;key
~ Bắt đầu trận đấu ~;battle.start
Tiêu diệt chúng!;battle.npc_ally
Chiến đấu nào !;battle.npc_enemy
Xác nhận;battle.Confirm
Hủy bỏ;battle.Cancel
Xác nhận trận chiến;battle.Begin
Di chuyển;battle.Move
Quét;battle.Scan
Kết thúc;battle.Turn
Cửa sổ của trò chơi;help.wskin
Hình nền trò chơi;help.menuBack
Tất cả;categories.ALL
Thực phẩm;categories.FOOD
Kẹo;categories.CAKE
Nước uống;categories.DRINK
Chìa khóa;categories.KEY
Phổ biến;categories.COMMON
Quý hiếm;categories.RAREITEM
Dược phẩm;categories.MEDICAMENT
Vật liệu;categories.MATERIAL
Vũ khí;categories.WEAPON
Giáp;categories.ARMOR
Nguyên liệu;categories.RawFoods
Cấp cứu;categories.Health
Điện tử;categories.Electronic
Món tráng miệng;food.f001
\c[17]Nhận được số điểm thưởng \V[3] tăng tiền nhận được \i[2] \V[6] $;waiter.scores
Tấn công;skill_name.1
Phòng thủ;skill_name.2
Tấn công kép;skill_name.3
Tấn công đôi;skill_name.4
Tấn công ba;skill_name.5
Thoát ;skill_name.6
Dịch chuyển tức thời;skill_name.73
Phoenix;skill_name.74
Mèo;skill_name.75
Giành chiến thắng tuyệt vời ;skill_name.133
Chuyển vị ;skill_name.134
Làn sóng chữa bệnh ;skill_name.135
Bom ;skill_name.136
Mũi tên lửa ;skill_name.137
Bọ độc ;skill_name.162
Fire Surge ;skill_name.163
Summon Pyra ;skill_name.164
Evil Healing ;skill_name.165
Mark của Mago ;skill_name.166
Chết;states.1
Đỡ;states.2
Bất diệt;states.3
Đầu độc;states.4
Liên kết;states.5
Im lặng ;states.6
Đang sạc;states.46
Ảo giác đáng sợ;states.31
Bị đe dọa ;states.32
Tấn công nặng ;states.33
Vô hình;states.34
Tập trung ;states.35
Hồi sinh một đồng Minh;skill.des50
Bảo vệ hiệu quả đồng Minh trong hai lượt;skill.des51
Dịch chuyển sau đó chuyển Thả Tim ở vị trí cũ. Phạm vi được dựa trên các điểm di chuyển hiện tại;skill.des52
Số lần truy cập và đẩy mục tiêu đến hai ô.xyzabcc[10] Thời gian hồi chiêu: 3 lần lượt;skill_des.11
Nhảy tới vị trí sẵn có trong phạm vi và gọi a sấm sét để gây sát thương cho các chiến binh lân cận.xyzabcc[10] Thời gian hồi chiêu: 5 lần lượt;skill_des.12
Chạy về phía mục tiêu.xyzabcc[10] Thời gian hồi chiêu: 2 lần lượt;skill_des.13
Tạo ra một aura giúp giảm ATK của kẻ thù xuống 15%.Tài trợ cũng như 70% cơ hội phản công.xyzabcc[10] Thời gian hồi chiêu: 5 lần lượt;skill_des.14
Tấn công mục tiêu và xóa 3 điểm di chuyển.xyzabcc[10] Thời gian hồi chiêu: 3 lượt;skill_des.15
Thu hút sự chú ý của kẻ thù lên người dùng. Có thể sử dụng một hành động khác sau kỹ năng này.xyzabcc[10] Thời gian hồi chiêu: 6 lượt;skill_des.16
Đặt nhiều điểm lửa trên mặt đất.xyzabcc[10] Thời gian hồi chiêu: 5 lượt;skill_des.47
Hồi sinh một đồng MInh;skill_des.50
Bảo vệ hiệu quả đồng MInh trong hai lượt;skill_des.52
Teleports sau đó cast Spark tại vị trí cũ. Phạm vi dựa trên các điểm di chuyển hiện tại.xyzabcc[10] Cooldown: 6 turn;skill_des.53
