Tất cả;categories.ALL
Thực phẩm;categories.FOOD
Kẹo;categories.CAKE
Nước uống;categories.DRINK
Chìa khóa;categories.KEY
Phổ biến;categories.COMMON
Quý hiếm;categories.RAREITEM
Dược phẩm;categories.MEDICAMENT
Vật liệu;categories.MATERIAL
Vũ khí;categories.WEAPON
Giáp;categories.ARMOR
Nguyên liệu;categories.RawFoods
Cấp cứu;categories.Health
Điện tử;categories.Electronic
Món tráng miệng;food.f001
\c[17]Nhận được số điểm thưởng \V[3] tăng tiền nhận được \i[2] \V[6] $;waiter.scores
Sự kiện thi đấu năm nay quá khó, \ntớ không muốn thua cuộc.;NPC.1
Là con gái tham gia cuộc thi, \nvì vậy tớ đang cô đơn.;NPC.2
Ngôi đền này đã tồn tại từ rất lâu.;NPC.3
tớ cần vào đền thờ, làm ơn!;NPC.4
Phụ;quest.side
Đã hoàn thành;quest.completed
Đã thất bai;quest.failed
Tiêu đề nhiệm vụ;quest.header
Tiến trình nhiệm vụ;quest.step
Phần thưởng;quest.rewards
Theo dỏi;quest.track
Bỏ theo dỏi;quest.untrack
Từ bỏ nhiệm vụ;quest.abandon
Chấp nhận;quest.accept
Từ chối;quest.decline
Nhiệm vụ đã hoàn thành;quest.complete
Bỏ qua;quest.cancel
Nhiệm vụ;quest.name
Ai có thể chỉ dẫn cho tớ?;quest_detail.name1
Tìm kiếm ai đó, có thể chỉ điểm đến khu vực DU BI.;quest_detail.des1
Binh đoàn hỗ trợ thí sinh,;quest_detail.obj1_1
chắc chắn biết vị trí của;quest_detail.obj1_1a
Quá Trình cuộc tuyển chọn.;quest_detail.obj1_1b
Hướng dẫn viên TUYEN biết vị trí;quest_detail.obj1_2
nhưng cô ấy không thể ,;quest_detail.obj1_2a
điều khiển xe máy.;quest_detail.obj1_2b
Đãm bảo tớ phải có $ 250.00;quest_detail.name2
Hôm nay là \nNgày cuối cùng của cuộc tuyển chọn.;intro.1
Số phận của ứng viên sẽ thay đổi phù thuộc vào thử thách cuối cùng này.;intro.3
Cơ hội để có cuộc sống tốt đẹp, hạnh phúc chỉ dành cho người xứng đáng nhất,;intro.4
Ứng viên phải đạt tối thiểu 25 điểm trong 3 lần thử thách.;intro.5
tôi đoán, tôi đã có 20 điểm tích lũy.;intro.6
Thử thách cuối cùng lần này chỉ cần đạt thêm 5 điểm, \ntôi sẽ có cơ hội rời khỏi nơi khốn khó ở nông thôn, \nthay đổi số phận nghèo khó.;intro.7
tôi sẽ xếp loại vào nhóm người tài giỏi nhất của đất nước.;intro.8
Nhưng,;intro.9
Không ổn rồi!!;intro.10
Người hướng dẫn của tôi, đâu rồi nhỉ ?;intro.11
tôi không thể vượt qua thử thách chỉ bởi một mình.;intro.12
MI, cậu đang ở đâu?;intro.13
Bạn đã tham gia TEAM Sự Nghiệp, PHI đã tham gia và nhóm của bạn;MSG.MSG_1
Bạn đã tham gia TEAM Quá Trình, PHi trở thành kẻ thù của bạn.;MSG.MSG_2
Cuộc tuyển chọn lần thứ 99 đang diễn ra.;MSG.MSG_3
Xin lỗi, tớ đang bận.;TUAN.tut1
TUAN: Cậu muốn đến đó để làm gì ?;TUAN.TAP_1_20
TUAN: Ồ! thế à. Cần giúp đỡ gì nào !;TUAN.TAP_1_21
TUAN: Này, cậu Ứng viên. \nPhải nói rõ khu vực nào chứ, \nQuá Trình của năm nay tăng số lượng ứng viên \nrất đông nên có nhiều khu vực.;TUAN.TAP_1_22
TUAN: Thật không may, \ntớ không biết khu vực đó.;TUAN.TAP_1_23
TUAN: À mà này, TUYEN biết vị trí khu vực đấy \nNhưng cô ấy không biết điều khiển xe máy.;TUAN.TAP_1_24
